query,category,subcategory
"when do i rake dead grass",Yard guidance,Seasonal changes
"how to use sprayer effectively",Sunday products,Sprayer
"when to apply pre emergent for crabgrass",Yard guidance,Weed control
"box missing item what should i do",Subscription,Missing order or item
"do i need to add soil before seeding",Yard guidance,Seeding
"weeds coming back after treatment",Sunday products,No improvement
"sould i water lawn after mowing",Yard guidance,Watering
"best time of day to kill weeds",Yard guidance,Weed control
"how to stop armyworms in my yard",Yard guidance,Insects
"can i add more products to my plan",Subscription,Modifying plan
"hello sunny how do i contact support",Other,Greeting
"how to fix soil after construction",Yard guidance,Soil problems
"how to use your fertilizer with my watering schedule",Sunday products,Instructions
"can i get a refund for my plan",Subscription,Refunds or credits
"grass is different color in spots",Yard guidance,Spots or patches
"how often to cut st augustine",Yard guidance,Mowing
"when to water after weed killer",Yard guidance,Watering
"tracking info for my order",Subscription,Next shipment
"when to apply your seed products",Sunday products,Instructions
"looking to cancel my subscription asap",Cancel,Cancel
"best time of year to fix bare spots",Yard guidance,Spots or patches
"how long does weed warrior last",Sunday products,Longevity
"what are the black spots on my grass",Yard guidance,Disease
"when should i fertilize after seeding",Yard guidance,Fertilizer timing
"how to use grass powerhouse product",Sunday products,Instructions
"best way to prepare soil for seeding",Yard guidance,Seeding
"do i need to water after using soil supplement",Sunday products,Instructions
"need new shipping labels for soil test",Sunday products,Soil test
"what time of day is best for mowing",Yard guidance,Mowing
"how to fix yellow grass patches",Yard guidance,Spots or patches
"cancellation process for my plan",Cancel,Cancel
"when to water if forecast shows rain",Yard guidance,Watering
"instructions for applying fertilizer",Sunday products,Instructions
"my shipment hasnt arrived yet",Subscription,Next shipment
"how often to cut grass in fall",Yard guidance,Mowing
"should i use core aeration",Yard guidance,Aerification
"do you have a product for clover",Sunday products,Product assortment
"what kind of weed is this in my lawn",Yard guidance,Weed control
"good morning what can i do for brown spots",Other,Greeting
"no improvement in my grass after 2 months",Sunday products,No improvement
"what products will help my lawn grow thicker",Sunday products,Product assortment
"what to do about patchy lawn",Yard guidance,Spots or patches
"when should i seed my patchy lawn",Yard guidance,Seeding
"missed application can i still use it",Sunday products,Missed applications
"need to postpone next shipment",Subscription,Pause
"i need to stop my service",Cancel,Cancel
"can I get a credit for missing item",Subscription,Refunds or credits
"does your spring fertilizer have weed control",Sunday products,Product assortment
"when to mow bermuda grass",Yard guidance,Mowing
"can i use your products with my other fertilizer",Sunday products,Instructions
"is it ok to mow after rain",Yard guidance,Mowing
"how do i fix poor drainage in lawn",Yard guidance,Soil problems
"best way to kill dandelions",Yard guidance,Weed control
"help with my invoice please",Subscription,Discounts and transactions
"whats included in basic plan",Subscription,Modifying plan
"my dog pees on lawn spots dying",Yard guidance,Dog urine spots
"how to get soil test results faster",Sunday products,Soil test
"when will my order ship out",Subscription,Next shipment
"what to put on lawn in spring",Yard guidance,Seasonal changes
"need help applying grass seed",Yard guidance,Seeding
"my sprayer is clogged with stuff",Sunday products,Sprayer
"how to control mole crickets",Yard guidance,Insects
"do you have product for fire ants",Sunday products,Product assortment
"can you help me with cancellation please",Cancel,Cancel
"lawn seede not growing well",Yard guidance,Seeding
"i want to grow a garden in my yard",Yard guidance,Garden plant care
"should I water after seeding",Yard guidance,Seeding
"application schedule for products",Sunday products,Instructions
"is it safe for pets to walk on lawn after treatment",Sunday products,Safety
"how to care for lawn during drought",Yard guidance,Watering
"how to determine my grass type",Yard guidance,Grass types
"getting weeds after weed warrior application",Sunday products,No improvement
"ticks in my yard how to treat",Yard guidance,Yard pests
"can i roll over credit to next year",Subscription,Refunds or credits
"where to send soil sample",Sunday products,Soil test
"is it safe to mow after fertilizing",Yard guidance,Mowing
"what products do you offer for spring",Sunday products,Product assortment
"want to change my plan size",Subscription,Lawn size
"how to handle heavily compacted soil",Yard guidance,Soil problems
"I want to cancel before renewal",Cancel,Cancel
"help identifying weeds in my yard",Yard guidance,Weed control
"fertilizer spilled on grass is it ok",Sunday products,Instructions
"need discount code for checkout",Subscription,Discounts and transactions
"lawn problems after installing sprinklers",Yard guidance,Spots or patches
"how to prepair my lawn for summer",Yard guidance,Seasonal changes
"what kind of grass grows in shade",Yard guidance,Grass types
"product arrived leaking in box",Subscription,Missing order or item
"brown circular patches in lawn",Yard guidance,Disease
"what products will come in my fall box",Subscription,Next shipment
"best practice for watering new sod",Yard guidance,Watering
"need help removing crabgrass",Yard guidance,Weed control
"hi sunny i have a question about my lawn",Other,Greeting
"what insects damage lawns in summer",Yard guidance,Insects
"what to do about rabbits eating garden",Yard guidance,Vertebrate pests
"how to fix lawn after drought",Yard guidance,Spots or patches
"when to aerate before seeding",Yard guidance,Aerification
"what does core seagreen do",Sunday products,Instructions
"which products help with clay soil",Sunday products,Product assortment
"my soil test kit is missing",Subscription,Missing order or item
"when to apply potassium boost",Sunday products,Instructions
"canceling due to moving houses",Cancel,Cancel
"how often to mow in rainy season",Yard guidance,Mowing
"what is best time to apply weed killer",Yard guidance,Weed control
"should I overseed thin lawn areas",Yard guidance,Seeding
"how to handle moss in my lawn",Yard guidance,Disease
"can I change my plan midseason",Subscription,Modifying plan
"is product ok with well water",Sunday products,Instructions
"how long before i see grass grow",Yard guidance,Seeding
"missing my latest shipment",Subscription,Missing order or item
"help identifying grass disease",Yard guidance,Disease
"can i get partial refund for unused product",Subscription,Refunds or credits
"weeds in my garden how to control",Yard guidance,Garden plant care
"best product for new lawn",Sunday products,Product assortment
"how to fix lawn burnout from summer",Yard guidance,Spots or patches
"instructions for grass powerhouse application",Sunday products,Instructions
"how to grow grass under trees",Yard guidance,Grass types
"best way to keep lawn moist",Yard guidance,Watering
"how to manage dog spots in lawn",Yard guidance,Dog urine spots
"is your fall treatment safe for kids",Sunday products,Safety
"whats in my next box shipment",Subscription,Next shipment
"can i change my lawn size measurement",Subscription,Lawn size
"how much to water in texas heat",Yard guidance,Watering
"product not working on my weeds",Sunday products,No improvement
"how to tell what kind of grass i have",Yard guidance,Grass types
"missed spring application still use it?",Sunday products,Missed applications
"help need to stop my plan",Cancel,Cancel
"best product for lawn patches",Sunday products,Product assortment
"need to know timing of next shipment",Subscription,Next shipment
"how to take care of my garden plants",Yard guidance,Garden plant care
"application for weed warrior instructions",Sunday products,Instructions
"what is best mower height for summer",Yard guidance,Mowing
"how do i fix lawn erosion",Yard guidance,Soil problems
"how to get my lawn ready for fall",Yard guidance,Seasonal changes
"i have fleas in my yard help",Yard guidance,Yard pests
"fertilizer shipped looks solid is that normal",Sunday products,Product solidified
"can I speak to a representative",Other,Customer service agent
"how to prevent annual weeds",Yard guidance,Weed control
"should I rake before seeding",Yard guidance,Seeding
"can i use dandelion doom on clover",Sunday products,Instructions
"should i mow wet grass",Yard guidance,Mowing
"can i pause my subscription temporarily",Subscription,Pause
"when can i expect my next shipment",Subscription,Next shipment
"how to use organic fertilizer",Sunday products,Instructions
"help need to cancel asap",Cancel,Cancel
"best practices for new grass seed",Yard guidance,Seeding
"instructions for soil test kit",Sunday products,Soil test
"can't login to my account for payment",Subscription,Discounts and transactions
"wet spots in lawn not drying",Yard guidance,Soil problems
"how to get rid of lawn fungus",Yard guidance,Disease
"i need help with my thin lawn",Yard guidance,Spots or patches
"how to control crabgrass in summer",Yard guidance,Weed control
"can i mix your products together",Sunday products,Instructions
"when to expect soil test results",Sunday products,Soil test
"my order is incomplete missing items",Subscription,Missing order or item
"how frequently to water bermuda grass",Yard guidance,Watering
"help identify my lawn grass type",Yard guidance,Grass types
"do i need to add product to my plan",Subscription,Modifying plan
"sprayer not working properly help",Sunday products,Sprayer
"what to do with sediment in product",Sunday products,Product solidified
"help me cancel this service",Cancel,Cancel
"neighbors dog urine killing my grass",Yard guidance,Dog urine spots
"how do i handle lawn rust disease",Yard guidance,Disease
"why does my lawn have yellow patches",Yard guidance,Spots or patches
"need help with my invoice",Subscription,Discounts and transactions
"how to use weed warrior in spring",Sunday products,Instructions
"when to fertilize after lawn treatment",Yard guidance,Fertilizer timing
"does payment info need updating",Subscription,Discounts and transactions
"what to do in fall for lawn health",Yard guidance,Seasonal changes
"how to fix bare spots in my lawn",Yard guidance,Spots or patches
"do you have product for fire ants",Sunday products,Product assortment
"how to get rid of mosquitoes in yard",Yard guidance,Yard pests
"how often to cut grass in spring",Yard guidance,Mowing
"best way to get rid of moss in lawn",Yard guidance,Disease
"what should i do if it rains after application",Sunday products,Instructions
"is it ok to use pet safe ice melt on lawn",Yard guidance,Seasonal changes
"sprayer keeps clogging what to do",Sunday products,Sprayer
"how to contact customer suport",Other,Customer service agent
"payment didnt go thru needs update",Subscription,Discounts and transactions
"what is causing brown rings in grass",Yard guidance,Disease
"when is good time to plant new lawn",Yard guidance,Seeding
"my yard gets very soggy what to do",Yard guidance,Soil problems
"product leaked in the container",Sunday products,Product solidified
"need to cancel subscription immediately",Cancel,Cancel
"how to get rid of mole tunnels",Yard guidance,Vertebrate pests
"can i add weed control to my order",Subscription,Modifying plan
"how to get healthier thicker grass",Yard guidance,Spots or patches
"missed order what do i do",Subscription,Missing order or item
"when will soil test results be ready",Sunday products,Soil test
"can I seed over existing lawn",Yard guidance,Seeding
"how to applyy weed killer correctly",Sunday products,Instructions
"product spilled need replacement",Subscription,Missing order or item
"how to make grass greener fast",Yard guidance,Fertilizer timing
"when to apply pre-emergent in texas",Yard guidance,Weed control
"is it safe for animals after application",Sunday products,Safety
"what does fall fortify do",Sunday products,Instructions
"Cancelling my plan please help",Cancel,Cancel
"how to fix lawn after dog damage",Yard guidance,Dog urine spots
"need to change my shipment date",Subscription,Next shipment
"which grass seed for full sun",Yard guidance,Grass types
"how do i kill lawn grubs",Yard guidance,Insects
"yellow spots after fertilizing",Yard guidance,Spots or patches
"what to do about clay soil",Yard guidance,Soil problems
"instructions for using grass seed",Sunday products,Instructions
"good morning sunny what should i do about brown spots",Other,Greeting
"can i use last years leftover product",Sunday products,Longevity
"how to care for new grass seed",Yard guidance,Seeding
"what do i do if i missed an application",Sunday products,Missed applications
"can i get credit for damaged product",Subscription,Refunds or credits
"is it ok to mow after applying weed control",Sunday products,Instructions
"how to deal with ant hills in lawn",Yard guidance,Yard pests
"need to change my payment method",Subscription,Discounts and transactions
"help understanding soil test results",Sunday products,Soil test
"is your fertilizer pet safe",Sunday products,Safety
"what time of day is best to fertilize",Yard guidance,Fertilizer timing
"when to apply core seagreen",Sunday products,Instructions
"need to talk to support team",Other,Customer service agent
"lawn is bumpy and uneven",Yard guidance,Soil problems
"how to stop flea infestation in yard",Yard guidance,Yard pests
"what does weed warrior treat",Sunday products,Instructions
"grass seed not germinating well",Yard guidance,Seeding
"need to update billing address",Other,Moving
"is product safe for vegetable garden",Sunday products,Safety
"what's the best height to cut st augustine",Yard guidance,Mowing
"can i use sunday with my irrigation system",Sunday products,Instructions
"my lawn is thin in shady areas",Yard guidance,Spots or patches
"questions about my next order",Subscription,Next shipment
"wanting to stop my service",Cancel,Cancel
"does your product kill clover",Sunday products,Instructions
"how to identify diseases in lawn",Yard guidance,Disease
"is grass powerhouse good for bermuda",Sunday products,Instructions
"when to water newly planted grass seed",Yard guidance,Seeding
"wet spots in my yard what to do",Yard guidance,Soil problems
"how soon after weed killer can I seed",Yard guidance,Weed control
"what causes thin grass in spots",Yard guidance,Spots or patches
"need to change my plan for smaller yard",Subscription,Lawn size
"billing issue with my subscription",Subscription,Discounts and transactions
"when to fertilize new grass",Yard guidance,Fertilizer timing
"what insects are damaging my lawn",Yard guidance,Insects
"squirrels digging holes in lawn",Yard guidance,Vertebrate pests
"how to keep my lawn green year round",Yard guidance,Seasonal changes
"what products are good for shady lawn",Sunday products,Product assortment
"can I get refund on my last order",Subscription,Refunds or credits
"when should I aerate clay soil",Yard guidance,Aerification
"how do i setup my sprayer",Sunday products,Sprayer
"need to cancel my sunday subscription",Cancel,Cancel
"best time to weed and feed lawn",Yard guidance,Weed control
"how to fix lawn after winter",Yard guidance,Seasonal changes
"is potassium boost good for summer",Sunday products,Instructions
"box arrived without weed warrior",Subscription,Missing order or item
"how to identify lawn grass types",Yard guidance,Grass types
"what time of day is best to water lawn",Yard guidance,Watering
"subscription auto renewal question",Subscription,Renewal
"what causes lawn to be lumpy",Yard guidance,Soil problems
"can i water immediately after seeding",Yard guidance,Seeding
"need a duplicate invoice",Subscription,Discounts and transactions
"should i bag grass clippings",Yard guidance,Mowing
"is it too late to apply pre emergent",Yard guidance,Weed control
"when to apply fertilizer in spring",Yard guidance,Fertilizer timing
"how to deal with voles in yard",Yard guidance,Vertebrate pests
"when will i get my spring shipment",Subscription,Next shipment
"is it safe for kids to play on treated lawn",Sunday products,Safety
"how much to water after fertilizing",Yard guidance,Watering
"need help identifying this weed",Yard guidance,Weed control
"should i fertilize before or after mowing",Yard guidance,Fertilizer timing
"my lawn is too thin need help",Yard guidance,Spots or patches
"how to get rid of fire ants in lawn",Yard guidance,Yard pests
"what's in the fall lawn box",Subscription,Next shipment
"missed fertilizer application window",Sunday products,Missed applications
"when to seed warm season grass",Yard guidance,Seeding
"how to stop automatic renewal",Subscription,Renewal
"need to cancel my plan now",Cancel,Cancel
"can i store products over winter",Sunday products,Longevity
"what should i do for spring lawn prep",Yard guidance,Seasonal changes
"need help with brown spots in lawn",Yard guidance,Spots or patches
"sprayer wont work properly",Sunday products,Sprayer
"help treating grub problem in lawn",Yard guidance,Insects
"how to fix compaction in yard",Yard guidance,Soil problems
"whats the coverage area of grass powerhouse",Sunday products,Instructions
"how long to keep pets off treated lawn",Sunday products,Safety
"soil test instructions unclear",Sunday products,Soil test
"can i apply weed killer before rain",Yard guidance,Weed control
"need to pause my plan for winter",Subscription,Pause
"what does fall fortify actually do",Sunday products,Instructions
"help with payment processing",Subscription,Discounts and transactions
"how to deal with red thread disease",Yard guidance,Disease
"help with lawn thatch problem",Yard guidance,Soil problems
"how to fix lawn after construction",Yard guidance,Spots or patches
"how to apply weed warrior correctly",Sunday products,Instructions
"is pet spot repair safe for dogs",Sunday products,Safety
"what is the timing for next shipment",Subscription,Next shipment
"need to downsize my lawn plan",Subscription,Lawn size
"can't seem to get rid of clover",Yard guidance,Weed control
"product instructions are confusing",Sunday products,Instructions
"do you offer product for ticks",Sunday products,Product assortment
"help me get lawn ready for summer",Yard guidance,Seasonal changes
"missing my order need tracking info",Subscription,Missing order or item
"should i dethatch before aerating",Yard guidance,Aerification
"best time to mow after rain",Yard guidance,Mowing
"do you offer product for mosquitoes",Sunday products,Product assortment
"good afternoon sunny need help with my lawn",Other,Greeting
"when will my payment be processed",Subscription,Renewal
"should i use dandelion doom on clover",Sunday products,Instructions
"help repairing lawn after winter",Yard guidance,Seasonal changes
"i think i need to cancel my plan",Cancel,Cancel
"how often to apply weed control",Yard guidance,Weed control
"when to put down grass seed in fall",Yard guidance,Seeding
"how to store unused fertilizer",Sunday products,Longevity
"how to clear fleas from my yard",Yard guidance,Yard pests
"what is good watering schedule for zoysia",Yard guidance,Watering
"how to repair bald spots in lawn",Yard guidance,Spots or patches
"what products are good for st augustine",Sunday products,Product assortment
"what to do about lawn mushrooms",Yard guidance,Disease
"will it rain after i apply product",Yard guidance,Fertilizer timing
"how to fix my rocky soil",Yard guidance,Soil problems
"help identifying my lawn disease",Yard guidance,Disease
"fertilizer solidified in pouch",Sunday products,Product solidified
"want to reduce size of my plan",Subscription,Lawn size
"best way to grow veggies in yard",Yard guidance,Garden plant care
